comparison,favored_source,pairs,targets,wins,losses,ties,win_rate,loss_rate,tie_rate,net_win_rate,two_sided_exact_sign_test_p,holm_adjusted_p
E0_vs_baseline,E0,300,100,159,124,17,0.53,0.41333333333333333,0.056666666666666664,0.11666666666666667,0.04307998253769839,0.04307998253769839
E_star_vs_E0,E_star,300,100,154,112,34,0.5133333333333333,0.37333333333333335,0.11333333333333333,0.14,0.011799153332689959,0.023598306665379917
E_star_vs_baseline,E_star,300,100,172,102,26,0.5733333333333334,0.34,0.08666666666666667,0.23333333333333334,2.7933018059567346e-05,8.379905417870204e-05
