comparison,favored_source,pairs,targets,wins,losses,ties,win_rate,loss_rate,tie_rate,net_win_rate,two_sided_exact_sign_test_p,holm_adjusted_p
E0_vs_baseline_lunajudge,E0,300,100,148,140,12,0.49333333333333335,0.4666666666666667,0.04,0.02666666666666667,0.6800614268589991,0.6800614268589991
E_star_vs_E0_lunajudge,E_star,300,100,159,120,21,0.53,0.4,0.07,0.13,0.02273521980472446,0.04547043960944892
E_star_vs_baseline_lunajudge,E_star,300,100,166,118,16,0.5533333333333333,0.3933333333333333,0.05333333333333334,0.16,0.005197398854190588,0.015592196562571763
